Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0.5476190476190477,1,1.0,0.7158196134574087,Sales,0.0,0.25,Life Sciences,0.3333333333333333,0.0,0.9142857142857144,0.6666666666666666,0.25,Sales Executive,1.0,Single,0.0,0.6980525998795423,0.8888888888888888,Yes,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.2222222222222222,0.0,0.3448275862068966
0.8149779735682819,0,0.5,0.1857352457093606,Research & Development,0.2758620689655172,0.1578947368421052,Life Sciences,0.7272727272727273,1.0,0.606401384083045,0.4,0.3684210526315789,Research Scientist,0.3333333333333333,Married,0.112972260455128,0.9225136453368152,0.1111111111111111,No,0.92,1.0,0.5,0.025,0.5,0.75,0.25,0.3888888888888889,0.0666666666666666,0.4827586206896552
0.6131357629154985,1,1.0,0.9159335462952404,Research & Development,0.0689655172413793,0.3804347826086956,Other,1.0,1.0,0.9195119191637874,0.4444444444444445,0.1578947368421052,Laboratory Technician,0.7272727272727273,Single,0.112972260455128,0.0887204666451544,0.6666666666666666,Yes,0.6,0.5,0.0,0.025,0.5,0.75,0.0,0.0,0.0,0.0
0.5458550260312375,0,0.5,0.9286102337586564,Research & Development,0.1034482758620689,0.7934782608695652,Life Sciences,1.0,0.0,0.5573155554008303,0.7222222222222222,0.1739130434782608,Research Scientist,0.7272727272727273,Married,0.112972260455128,0.857772042722666,0.1111111111111111,Yes,0.44,0.75,0.0,0.025,0.5,0.75,0.2,0.3888888888888889,0.2,0.0
0.4449503896751248,0,1.0,0.3941877780641127,Research & Development,0.0689655172413793,0.1739130434782608,Medical,0.1818181818181818,1.0,0.39663736618628,0.7222222222222222,0.1739130434782608,Laboratory Technician,0.4545454545454546,Married,0.112972260455128,0.6160215538817393,1.0,No,0.48,1.0,0.5,0.025,0.5,0.75,0.05,0.1111111111111111,0.1333333333333333,0.1379310344827586
0.5298467521527221,0,0.5,0.6704061259511803,Research & Development,0.0689655172413793,0.3804347826086956,Life Sciences,1.0,1.0,0.7891637446297336,0.7222222222222222,0.1739130434782608,Laboratory Technician,1.0,Single,0.112972260455128,0.4394218402623829,0.0,No,0.52,0.75,0.0,0.025,0.3333333333333333,0.5,0.175,0.3888888888888889,0.2,0.4137931034482758
0.983208812576883,0,1.0,0.8832410365211671,Research & Development,0.1034482758620689,0.5869565217391304,Medical,0.7380952380952381,0.0,0.8092433879983304,1.0,0.1739130434782608,Laboratory Technician,0.1818181818181818,Married,0.112972260455128,0.3690486322345354,0.4444444444444444,Yes,0.8,0.25,0.5,0.025,0.5,0.5,0.025,0.0,0.0,0.0
0.496264377306488,0,1.0,0.9059256351399118,Research & Development,0.8275862068965517,0.1739130434782608,Life Sciences,1.0,1.0,0.6686858844181528,0.7222222222222222,0.1739130434782608,Laboratory Technician,0.7380952380952381,Divorced,0.112972260455128,0.4939055186881533,0.1111111111111111,No,0.88,0.5,0.5,0.025,0.3333333333333333,0.75,0.025,0.0,0.0,0.0
0.6305938766914245,0,0.5,0.1439899991808994,Research & Development,0.7931034482758621,0.5869565217391304,Life Sciences,0.7380952380952381,1.0,0.4377699856792896,0.4444444444444445,0.5869565217391304,Manufacturing Director,0.7380952380952381,Single,0.112972260455128,0.3254542817878109,0.0,No,0.84,0.5,0.0,0.025,0.3333333333333333,0.75,0.225,0.3888888888888889,0.0666666666666666,0.5517241379310345
0.5970115018451904,0,1.0,0.8665649010541775,Research & Development,0.9310344827586208,0.5869565217391304,Medical,0.7380952380952381,1.0,0.9397610698942096,0.7222222222222222,0.3804347826086956,Healthcare Representative,0.7380952380952381,Married,0.112972260455128,0.6139844347019857,0.6666666666666666,No,0.52,0.5,1.0,0.025,0.5,0.5,0.175,0.3888888888888889,0.4666666666666667,0.4827586206896552
0.5802203144220733,0,1.0,0.5396489086369124,Research & Development,0.5517241379310345,0.5869565217391304,Medical,0.2142857142857142,1.0,0.8393628530512256,1.0,0.1739130434782608,Laboratory Technician,0.4761904761904761,Married,0.112972260455128,0.6103546587089704,0.0,No,0.52,0.75,0.5,0.025,0.8333333333333334,0.75,0.125,0.2222222222222222,0.0,0.2068965517241379
0.4794731898833709,0,1.0,0.1019817840946146,Research & Development,0.5172413793103449,0.3804347826086956,Life Sciences,1.0,0.0,0.4879690941007816,0.4444444444444445,0.3804347826086956,Laboratory Technician,0.7380952380952381,Single,0.112972260455128,0.4697193582448984,0.0,Yes,0.48,1.0,0.0,0.025,0.5,0.75,0.225,0.2777777777777778,0.0,0.5517241379310345
0.5130555647296051,0,1.0,0.4469270157640647,Research & Development,0.896551724137931,0.1739130434782608,Life Sciences,0.2142857142857142,1.0,0.3072523037834104,0.7222222222222222,0.1739130434782608,Research Scientist,0.7380952380952381,Divorced,0.112972260455128,0.5618712222308377,0.1111111111111111,No,0.68,1.0,0.5,0.025,0.1666666666666666,0.5,0.125,0.1111111111111111,0.2666666666666666,0.2068965517241379
